current_id,disposition,target_item_id,reason_code
sparse-matmul-csr,reference,E1.2,OPTIONAL_DEPTH
hardware-roofline-model-calculator,merge,E1.1,DUPLICATE_FAMILY
dynamic-2d-block-prefix-sum,move,-,GENERIC_DSA
triton-tensor-core-mma-swizzle,reference,E1.2,OPTIONAL_DEPTH
transpose-matrix-square,merge,R4.1,DUPLICATE_FAMILY
l1-block-tiled-matmul,retain,E1.2,SELECTED_CORE
fused-ffn-gemm-online-softmax,reference,E1.2,OPTIONAL_DEPTH
flatten-2d-array,move,-,GENERIC_DSA
cuda-triton-sram-tiled-gemm,rework,E1.2,AUTHENTICITY
async-double-buffering-pipeline,reference,E1.2,OPTIONAL_DEPTH
reshape-matrix-566,move,-,GENERIC_DSA
naive-3-loop-matmul,merge,E1.2,DUPLICATE_FAMILY
matrix-vector-multiplication,merge,R1.2,CORE_MECHANISM
eval-reverse-polish-notation,move,-,GENERIC_DSA
detect-terminal-nodes,move,-,GENERIC_DSA
circular-dependency-detection,move,-,GENERIC_DSA
recipe-indegree-kahn-bfs,move,-,GENERIC_DSA
parallel-course-critical-path,move,-,GENERIC_DSA
micrograd-reverse-gradients,retain,R6.1,SELECTED_CORE
deep-copy-linked-list-random,move,-,GENERIC_DSA
optimal-subgraph-activation-checkpointing,merge,R6.3,DUPLICATE_FAMILY
ast-expression-eval-variables,move,-,GENERIC_DSA
prefix-to-postfix-conversion,move,-,GENERIC_DSA
compute-scalar-chain-rule,merge,R6.1,CORE_MECHANISM
ast-constant-folding,move,-,GENERIC_DSA
tensor-vjp-engine-grad-of-grad,reference,R6.1,OPTIONAL_DEPTH
async-pipelined-vjp-evaluation,reference,R6.1,OPTIONAL_DEPTH
find-zero-indegree-nodes,move,-,GENERIC_DSA
micrograd-forward-pass,merge,R6.1,DUPLICATE_FAMILY
basic-symmetric-int8-scale,merge,E3.1,DUPLICATE_FAMILY
scalar-int8-quantization,merge,E3.1,DUPLICATE_FAMILY
fake-quantized-w8a8-matmul,rework,E3.1,AUTHENTICITY
asymmetric-affine-quantization,merge,E3.1,DUPLICATE_FAMILY
stable-softmax-logsumexp,merge,R4.2,CORE_MECHANISM
per-channel-symmetric-quantizer,merge,E3.1,DUPLICATE_FAMILY
fp8-e4m3-e5m2-bitpacker,reference,R4.3,OPTIONAL_DEPTH
two-element-max-subtraction-shift,merge,R4.2,DUPLICATE_FAMILY
fp16-overflow-rescaling-engine,merge,R4.3,DUPLICATE_FAMILY
min-max-range-clipping,merge,E3.1,DUPLICATE_FAMILY
smoothquant-outlier-migration,merge,E3.1,DUPLICATE_FAMILY
ieee-754-bitwise-dissector,reference,R4.3,OPTIONAL_DEPTH
zero-point-alignment-shift,merge,E3.1,DUPLICATE_FAMILY
bitwise-sign-extraction,move,-,GENERIC_DSA
one-pass-online-softmax-sram-kernel,reference,R4.2,OPTIONAL_DEPTH
hnsw-multi-layer-probabilistic-graph,merge,E6.1,DUPLICATE_FAMILY
linear-scan-knn-topk,retain,E6.1,SELECTED_CORE
binary-search-bucket-index,move,-,GENERIC_DSA
kmeans-centroid-clustering,move,-,MODEL_PREREQUISITE
hnsw-heuristic-spatial-pruning,merge,E6.1,DUPLICATE_FAMILY
ivf-inverted-index-posting-lists,merge,E6.2,DUPLICATE_FAMILY
simd-swizzled-adc-distance-lookup,reference,E6.2,OPTIONAL_DEPTH
gaussian-l2-locality-sensitive-hash,reference,E6.2,OPTIONAL_DEPTH
l2-distance-pairwise,merge,E6.1,CORE_MECHANISM
lsh-multi-table-bucket-grouping,reference,E6.2,OPTIONAL_DEPTH
random-hyperplane-sign-hash,reference,E6.2,OPTIONAL_DEPTH
hnsw-greedy-beam-search-engine,retain,E6.1,SELECTED_CORE
ivf-pq-asymmetric-distance-computation,merge,E6.2,DUPLICATE_FAMILY
subvector-decomposition-codebook,merge,E6.2,DUPLICATE_FAMILY
cosine-similarity-normalized,merge,E6.1,CORE_MECHANISM
single-skip-list-layer-traversal,move,-,GENERIC_DSA
byte-level-bpe-tiktoken-tokenizer,merge,E4.1,DUPLICATE_FAMILY
character-frequency-ngram-counter,move,-,GENERIC_DSA
viterbi-lattice-subword-segmenter,reference,E4.1,OPTIONAL_DEPTH
iterative-bpe-vocabulary-trainer,merge,E4.1,DUPLICATE_FAMILY
sentencepiece-byte-fallback-encoder,merge,E4.1,DUPLICATE_FAMILY
unigram-em-vocabulary-pruner,reference,E4.1,OPTIONAL_DEPTH
basic-trie-insert-search,move,-,GENERIC_DSA
adjacent-pair-frequency-counter,merge,E4.1,DUPLICATE_FAMILY
wordpiece-pmi-scored-tokenizer,reference,E4.1,OPTIONAL_DEPTH
unigram-candidate-loss-ranks,reference,E4.1,OPTIONAL_DEPTH
single-pass-bpe-merger,merge,E4.1,DUPLICATE_FAMILY
trie-longest-prefix-matcher,move,-,GENERIC_DSA
fast-subword-lattice-viterbi-beam,reference,E4.1,OPTIONAL_DEPTH
parallel-lock-free-bpe-encoder,reference,E4.1,OPTIONAL_DEPTH
aho-corasick-multi-token-matcher,move,-,GENERIC_DSA
utf8-byte-sequence-validator,merge,E4.1,CORE_MECHANISM
variance-preservation-proof-sim,reference,E4.2,OPTIONAL_DEPTH
single-head-attention-map,retain,E4.2,SELECTED_CORE
rope-2d-complex-plane-rotation,reference,E4.2,OPTIONAL_DEPTH
grouped-query-attention-gqa-engine,retire,E4.3,EXACT_DUPLICATE
relative-position-inner-product-preservation,reference,E4.2,OPTIONAL_DEPTH
flash-decoding-split-k-sequence-parallel,reference,E5.3,OPTIONAL_DEPTH
multi-head-attention-split-concat,merge,E4.2,DUPLICATE_FAMILY
causal-lower-triangular-mask,merge,E4.2,CORE_MECHANISM
softmax-row-normalize,merge,R4.2,DUPLICATE_FAMILY
sliding-window-prefix-attention-engine,merge,E5.3,DUPLICATE_FAMILY
vector-inner-product-scaling,merge,E4.2,CORE_MECHANISM
rotary-embedding-attention-cuda-kernel,rework,E4.2,AUTHENTICITY
multi-query-attention-broadcast,merge,E4.3,DUPLICATE_FAMILY
kv-cache-step-append,merge,E4.3,DUPLICATE_FAMILY
rope-frequency-scaling-yarn,reference,E4.2,OPTIONAL_DEPTH
paged-kv-cache-block-mapping,merge,E5.1,DUPLICATE_FAMILY
transposed-conv2d-deconv-index-mapper,reference,E8.1,OPTIONAL_DEPTH
conv1d-sliding-window-direct,merge,E8.1,DUPLICATE_FAMILY
col2im-grad-accumulator,reference,E8.1,OPTIONAL_DEPTH
multi-channel-conv2d-accumulation,merge,E8.1,DUPLICATE_FAMILY
winograd-f23-transform-matrices,reference,E8.1,OPTIONAL_DEPTH
winograd-minimal-filtering-execution,reference,E8.1,OPTIONAL_DEPTH
conv2d-sliding-window-direct,merge,E8.1,DUPLICATE_FAMILY
lowered-conv2d-gemm-execution-engine,merge,E8.1,DUPLICATE_FAMILY
conv2d-padding-stride-output-shape,retain,E8.1,SELECTED_CORE
fused-depthwise-separable-conv2d-engine,reference,E8.1,OPTIONAL_DEPTH
cudnn-implicit-gemm-on-the-fly-kernel,rework,E8.1,AUTHENTICITY
receptive-field-growth-calculator,merge,E8.1,DUPLICATE_FAMILY
conv2d-to-gemm-receptive-field-unroll,merge,E8.1,CORE_MECHANISM
as-strided-zero-copy-im2col-view,merge,E8.1,DUPLICATE_FAMILY
fft-frequency-domain-convolution-2d,reference,E8.1,OPTIONAL_DEPTH
im2col-4d-to-2d-unroller,merge,E8.1,DUPLICATE_FAMILY
single-feature-threshold-split,merge,E7.1,DUPLICATE_FAMILY
gini-impurity-binary-split,merge,E7.1,DUPLICATE_FAMILY
greedy-decision-tree-builder,reference,E7.1,OPTIONAL_DEPTH
multi-tree-additive-ensemble-predictor,merge,E7.2,DUPLICATE_FAMILY
exact-greedy-split-search,merge,E7.1,DUPLICATE_FAMILY
missing-value-default-direction-splitter,merge,E7.3,CORE_MECHANISM
xgboost-histogram-split-search,retain,E7.1,SELECTED_CORE
variance-reduction-split,merge,E7.1,DUPLICATE_FAMILY
tree-node-prediction-traverser,move,-,MODEL_PREREQUISITE
weighted-quantile-sketch-histogram,reference,E7.1,OPTIONAL_DEPTH
regularized-optimal-leaf-weight,merge,E7.1,DUPLICATE_FAMILY
shannon-entropy-calculator,move,-,MODEL_PREREQUISITE
gpu-hist-quantized-histogram-kernel,reference,E7.1,OPTIONAL_DEPTH
xgboost-split-gain-score-calculator,merge,E7.1,DUPLICATE_FAMILY
logloss-gradient-hessian-calculator,merge,E7.1,CORE_MECHANISM
tile-index-grid-mapper,merge,E1.2,DUPLICATE_FAMILY
online-max-logsumexp-tracker,merge,R4.2,DUPLICATE_FAMILY
autotune-config-grid-search-engine,rework,E1.3,PROFILER_CONTEXT
triton-fused-add-softmax-dropout-kernel,rework,E1.3,AUTHENTICITY
flash-attention-2-sequence-parallel-forward,reference,E5.3,OPTIONAL_DEPTH
triton-program-id-1d-to-2d-map,rework,E1.2,AUTHENTICITY
triton-mlir-to-ptx-compiler-pipeline-simulator,rework,E3.2,AUTHENTICITY
masked-memory-load-store-guard,merge,E1.2,CORE_MECHANISM
flash-attention-1-forward-tiling,merge,E5.3,DUPLICATE_FAMILY
triton-sram-swizzled-gemm-kernel,rework,E1.2,AUTHENTICITY
flash-attention-3-tma-warp-specialized-kernel,reference,E5.3,OPTIONAL_DEPTH
hbm-vs-sram-bandwidth-calculator,merge,E1.1,DUPLICATE_FAMILY
triton-l2-cache-swizzled-gemm-scheduler,reference,E1.2,OPTIONAL_DEPTH
warp-shuffle-butterfly-reduction,reference,E1.2,OPTIONAL_DEPTH
flash-attention-backward-recomputation-engine,reference,E5.3,OPTIONAL_DEPTH
bank-conflict-swizzle-calculator,reference,E1.2,OPTIONAL_DEPTH
column-parallel-linear-reshaper,merge,E2.2,DUPLICATE_FAMILY
two-gpu-parameter-splitter,merge,E2.2,DUPLICATE_FAMILY
full-ring-allreduce-collective-simulator,retain,E2.1,SELECTED_CORE
one-f1b-pipeline-parallel-execution-scheduler,merge,E2.2,DUPLICATE_FAMILY
zero1-optimizer-state-memory-estimator,merge,E2.3,DUPLICATE_FAMILY
fp16-model-memory-footprint-calculator,merge,E2.3,DUPLICATE_FAMILY
ring-scatter-reduce-array-accumulator,merge,E2.1,DUPLICATE_FAMILY
zero2-gradient-partitioning-engine,merge,E2.3,DUPLICATE_FAMILY
zero3-parameter-sharding-dynamic-allgather,merge,E2.3,DUPLICATE_FAMILY
ring-allgather-vector-reconstructor,merge,E2.1,DUPLICATE_FAMILY
nccl-tree-vs-ring-allreduce-simulator,rework,E2.1,FACTUAL_CORRECTION
ring-allreduce-data-volume-estimator,merge,E2.1,DUPLICATE_FAMILY
ring-neighbor-rank-calculator,merge,E2.1,DUPLICATE_FAMILY
row-parallel-linear-allreducer,merge,E2.2,DUPLICATE_FAMILY
cuda-ipc-shared-memory-pointer-mapper,reference,E2.2,OPTIONAL_DEPTH
nvlink-symmetric-memory-peer-to-peer-engine,reference,E2.2,OPTIONAL_DEPTH
kv-cache-sequence-memory-estimator,merge,E4.3,DUPLICATE_FAMILY
draft-model-lookahead-token-sampler,merge,E5.3,DUPLICATE_FAMILY
iteration-level-continuous-batch-scheduler,retain,E5.2,SELECTED_CORE
rejection-sampling-acceptance-threshold,merge,E5.3,DUPLICATE_FAMILY
full-speculative-decoding-serving-engine,merge,E5.3,DUPLICATE_FAMILY
hash-based-prefix-cache-trie-allocator,merge,E5.3,DUPLICATE_FAMILY
paged-attention-block-table-allocator,retain,E5.1,SELECTED_CORE
sequence-length-padding-waste-calculator,merge,E5.2,DUPLICATE_FAMILY
speculative-decoding-residual-distribution-recoverer,merge,E5.3,DUPLICATE_FAMILY
logical-to-physical-block-address-translator,merge,E5.1,DUPLICATE_FAMILY
chunked-prefill-token-budget-scheduler,merge,E5.2,DUPLICATE_FAMILY
reference-counting-cow-beam-search-brancher,reference,E5.3,OPTIONAL_DEPTH
pytorch-custom-cuda-op-wrapper-register,retire,E3.2,MISLEADING_IMPLEMENTATION
vllm-paged-attention-kernel-executor,rework,E5.1,AUTHENTICITY
flash-decoding-split-k-kv-cache-gather,reference,E5.3,OPTIONAL_DEPTH
target-model-parallel-verification-pass,merge,E5.3,DUPLICATE_FAMILY
